rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
0.0027,0.0017,-6.7773,0.0,0.1,,,,,,,
0.0029,0.0033,-6.694,0.0,0.1,,,,,,,
0.0021,0.0007,-6.7929,0.0,0.1,,,,,,,
0.0027,0.004,-6.7122,0.0,0.1,,,,,,,
0.002,0.0028,-6.7872,0.0,0.1,,,,,,,
0.0024,0.0024,-6.7855,0.0,0.1,,,,,,,
0.0036,0.0012,-6.7514,0.0,0.1,,,,,,,
0.0016,0.0055,-6.7482,0.0,0.1,,,,,,,
0.0031,0.0017,-6.7422,0.0,0.1,,,,,,,
0.0008,0.0011,-6.7756,0.0,0.1,,,,,,,
0.0044,0.0054,-6.816,0.0,0.1,,,,,,,
0.001,0.0009,-6.7327,0.0,0.1,,,,,,,
0.0029,0.0037,-6.7514,0.0,0.1,,,,,,,
,,,,,92558,7220,287000,6.0,7.0,2484,20.91
0.0016,0.0011,-6.757,0.0,0.1,,,,,,,
0.0018,0.0023,-6.8063,0.0,0.1,,,,,,,
0.0032,0.004,-6.7578,0.0,0.1,,,,,,,
0.0027,0.0021,-6.7128,0.0,0.1,,,,,,,
0.0023,0.0043,-6.7225,0.0,0.1,,,,,,,
0.0013,0.001,-6.8187,0.0,0.1,,,,,,,
0.0045,0.0032,-6.7762,0.0,0.1,,,,,,,
0.0007,0.0018,-6.8649,0.0,0.1,,,,,,,
0.0027,0.0027,-6.7519,0.0,0.1,,,,,,,
0.0031,0.0034,-6.8182,0.0,0.1,,,,,,,
0.0014,0.0016,-6.8428,0.0,0.1,,,,,,,
0.0023,0.002,-6.748,0.0,0.1,,,,,,,
0.0032,0.0032,-6.766,0.0,0.1,,,,,,,
0.0011,0.002,-6.7657,0.0,0.1,,,,,,,
,,,,,95008,7570,301000,6.0,7.0,2601,20.8846
0.0037,0.0037,-6.7914,0.0,0.1,,,,,,,
0.0018,0.0024,-6.8307,0.0,0.1,,,,,,,
0.0008,0.0007,-6.8335,0.0,0.1,,,,,,,
0.0035,0.0039,-6.8171,0.0,0.1,,,,,,,
0.0021,0.002,-6.8264,0.0,0.1,,,,,,,
0.0023,0.0036,-6.7816,0.0,0.1,,,,,,,
0.0013,0.0016,-6.818,0.0,0.1,,,,,,,
0.0024,0.0018,-6.8471,0.0,0.1,,,,,,,
0.0014,0.0015,-6.8599,0.0,0.1,,,,,,,
0.005,0.0052,-6.8753,0.0,0.1,,,,,,,
